wave,region,state,kind,city,service,root_slug,target_url,source_path,word_count,title
2,Riverside & Moreno Valley,ready_for_audos_microsite_bind,city_service,Moreno Valley,Drain Cleaning,moreno-valley-drain-cleaning,https://masterflowplumbing.us/moreno-valley-drain-cleaning,/seo-preview/locations/moreno-valley/drain-cleaning/,593,"Drain Cleaning in Moreno Valley, CA | Masterflow"
2,Riverside & Moreno Valley,ready_for_audos_microsite_bind,city_service,Perris,Drain Cleaning,perris-drain-cleaning,https://masterflowplumbing.us/perris-drain-cleaning,/seo-preview/locations/perris/drain-cleaning/,591,"Drain Cleaning in Perris, CA | Masterflow"
2,Riverside & Moreno Valley,ready_for_audos_microsite_bind,city_service,Jurupa Valley,Drain Cleaning,jurupa-valley-drain-cleaning,https://masterflowplumbing.us/jurupa-valley-drain-cleaning,/seo-preview/locations/jurupa-valley/drain-cleaning/,594,"Drain Cleaning in Jurupa Valley, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_hub,Rancho Cucamonga,All Plumbing Services,rancho-cucamonga-plumber,https://masterflowplumbing.us/rancho-cucamonga-plumber,/seo-preview/locations/rancho-cucamonga/,450,"Plumber in Rancho Cucamonga, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_hub,Ontario,All Plumbing Services,ontario-plumber,https://masterflowplumbing.us/ontario-plumber,/seo-preview/locations/ontario/,436,"Plumber in Ontario, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_hub,Claremont,All Plumbing Services,claremont-plumber,https://masterflowplumbing.us/claremont-plumber,/seo-preview/locations/claremont/,441,"Plumber in Claremont, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Rancho Cucamonga,Emergency Plumbing,rancho-cucamonga-emergency-plumber,https://masterflowplumbing.us/rancho-cucamonga-emergency-plumber,/seo-preview/locations/rancho-cucamonga/emergency-plumbing/,605,"Emergency Plumbing in Rancho Cucamonga, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Ontario,Emergency Plumbing,ontario-emergency-plumber,https://masterflowplumbing.us/ontario-emergency-plumber,/seo-preview/locations/ontario/emergency-plumbing/,586,"Emergency Plumbing in Ontario, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Claremont,Emergency Plumbing,claremont-emergency-plumber,https://masterflowplumbing.us/claremont-emergency-plumber,/seo-preview/locations/claremont/emergency-plumbing/,578,"Emergency Plumbing in Claremont, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Rancho Cucamonga,Drain Cleaning,rancho-cucamonga-drain-cleaning,https://masterflowplumbing.us/rancho-cucamonga-drain-cleaning,/seo-preview/locations/rancho-cucamonga/drain-cleaning/,607,"Drain Cleaning in Rancho Cucamonga, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Ontario,Drain Cleaning,ontario-drain-cleaning,https://masterflowplumbing.us/ontario-drain-cleaning,/seo-preview/locations/ontario/drain-cleaning/,588,"Drain Cleaning in Ontario, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Claremont,Drain Cleaning,claremont-drain-cleaning,https://masterflowplumbing.us/claremont-drain-cleaning,/seo-preview/locations/claremont/drain-cleaning/,580,"Drain Cleaning in Claremont, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Rancho Cucamonga,Leak Detection,rancho-cucamonga-leak-detection,https://masterflowplumbing.us/rancho-cucamonga-leak-detection,/seo-preview/locations/rancho-cucamonga/leak-detection/,591,"Leak Detection in Rancho Cucamonga, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Ontario,Leak Detection,ontario-leak-detection,https://masterflowplumbing.us/ontario-leak-detection,/seo-preview/locations/ontario/leak-detection/,572,"Leak Detection in Ontario, CA | Masterflow"
3,Rancho, Ontario & Claremont,ready_for_audos_microsite_bind,city_service,Claremont,Leak Detection,claremont-leak-detection,https://masterflowplumbing.us/claremont-leak-detection,/seo-preview/locations/claremont/leak-detection/,564,"Leak Detection in Claremont, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_hub,Fontana,All Plumbing Services,fontana-plumber,https://masterflowplumbing.us/fontana-plumber,/seo-preview/locations/fontana/,433,"Plumber in Fontana, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_hub,Upland,All Plumbing Services,upland-plumber,https://masterflowplumbing.us/upland-plumber,/seo-preview/locations/upland/,458,"Plumber in Upland, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_hub,Pomona,All Plumbing Services,pomona-plumber,https://masterflowplumbing.us/pomona-plumber,/seo-preview/locations/pomona/,447,"Plumber in Pomona, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Fontana,Emergency Plumbing,fontana-emergency-plumber,https://masterflowplumbing.us/fontana-emergency-plumber,/seo-preview/locations/fontana/emergency-plumbing/,579,"Emergency Plumbing in Fontana, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Upland,Emergency Plumbing,upland-emergency-plumber,https://masterflowplumbing.us/upland-emergency-plumber,/seo-preview/locations/upland/emergency-plumbing/,594,"Emergency Plumbing in Upland, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Pomona,Emergency Plumbing,pomona-emergency-plumber,https://masterflowplumbing.us/pomona-emergency-plumber,/seo-preview/locations/pomona/emergency-plumbing/,591,"Emergency Plumbing in Pomona, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Fontana,Drain Cleaning,fontana-drain-cleaning,https://masterflowplumbing.us/fontana-drain-cleaning,/seo-preview/locations/fontana/drain-cleaning/,581,"Drain Cleaning in Fontana, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Upland,Drain Cleaning,upland-drain-cleaning,https://masterflowplumbing.us/upland-drain-cleaning,/seo-preview/locations/upland/drain-cleaning/,596,"Drain Cleaning in Upland, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Pomona,Drain Cleaning,pomona-drain-cleaning,https://masterflowplumbing.us/pomona-drain-cleaning,/seo-preview/locations/pomona/drain-cleaning/,593,"Drain Cleaning in Pomona, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Fontana,Leak Detection,fontana-leak-detection,https://masterflowplumbing.us/fontana-leak-detection,/seo-preview/locations/fontana/leak-detection/,565,"Leak Detection in Fontana, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Upland,Leak Detection,upland-leak-detection,https://masterflowplumbing.us/upland-leak-detection,/seo-preview/locations/upland/leak-detection/,580,"Leak Detection in Upland, CA | Masterflow"
4,Foothill / Inland Empire Support,ready_for_audos_microsite_bind,city_service,Pomona,Leak Detection,pomona-leak-detection,https://masterflowplumbing.us/pomona-leak-detection,/seo-preview/locations/pomona/leak-detection/,577,"Leak Detection in Pomona, CA | Masterflow"
5,Murrieta & Surrounding,ready_for_audos_microsite_bind,city_hub,Murrieta,All Plumbing Services,murrieta-plumber,https://masterflowplumbing.us/murrieta-plumber,/seo-preview/locations/murrieta/,447,"Plumber in Murrieta, CA | Masterflow"
5,Murrieta & Surrounding,ready_for_audos_microsite_bind,city_hub,Temecula,All Plumbing Services,temecula-plumber,https://masterflowplumbing.us/temecula-plumber,/seo-preview/locations/temecula/,415,"Plumber in Temecula, CA | Masterflow"
5,Murrieta & Surrounding,ready_for_audos_microsite_bind,city_hub,Wildomar,All Plumbing Services,wildomar-plumber,https://masterflowplumbing.us/wildomar-plumber,/seo-preview/locations/wildomar/,446,"Plumber in Wildomar, CA | Masterflow"
